iter	Passed	Remaining
0	79	33528
1	148	31479
2	228	32110
3	304	32086
4	392	32973
5	465	32533
6	536	32031
7	597	31139
8	661	30586
9	722	29989
10	812	30581
11	930	32038
12	1084	34385
13	1183	34733
14	1269	34694
15	1348	34482
16	1405	33731
17	1480	33474
18	1552	33179
19	1634	33093
20	1696	32645
21	1756	32180
22	1828	31950
23	1921	32105
24	2035	32575
25	2133	32735
26	2186	32223
27	2249	31896
28	2311	31566
29	2380	31342
30	2434	30941
31	2501	30717
32	2567	30498
33	2641	30382
34	2707	30166
35	2774	29975
36	2844	29827
37	2905	29588
38	2978	29478
39	3035	29214
40	3098	29022
41	3169	28899
42	3233	28727
43	3300	28576
44	3369	28450
45	3433	28291
46	3500	28155
47	3566	28013
48	3623	27802
49	3691	27685
50	3747	27479
51	3817	27382
52	3880	27239
53	3941	27081
54	4008	26965
55	4066	26797
56	4133	26686
57	4210	26639
58	4307	26722
59	4388	26695
60	4463	26631
61	4538	26572
62	4609	26486
63	4672	26354
64	4738	26244
65	4799	26105
66	4864	25991
67	4923	25847
68	4982	25706
69	5043	25578
70	5113	25496
71	5176	25379
72	5234	25239
73	5295	25116
74	5364	25035
75	5426	24918
76	5481	24774
77	5538	24639
78	5610	24571
79	5670	24452
80	5730	24334
81	5799	24259
82	5861	24153
83	5927	24064
84	5993	23972
85	6052	23859
86	6126	23802
87	6191	23709
88	6244	23573
89	6303	23463
90	6367	23369
91	6437	23299
92	6494	23183
93	6576	23157
94	6650	23102
95	6723	23043
96	6792	22966
97	6858	22886
98	6922	22794
99	6984	22700
100	7050	22617
101	7119	22545
102	7183	22458
103	7248	22372
104	7303	22259
105	7362	22158
106	7431	22087
107	7500	22016
108	7567	21938
109	7631	21854
110	7698	21778
111	7758	21683
112	7824	21604
113	7890	21525
114	7951	21435
115	8016	21353
116	8082	21276
117	8147	21196
118	8212	21118
119	8281	21048
120	8336	20943
121	8396	20852
122	8461	20775
123	8515	20670
124	8574	20579
125	8647	20519
126	8711	20441
127	8774	20360
128	8857	20323
129	8922	20246
130	8995	20188
131	9059	20108
132	9115	20013
133	9185	19946
134	9246	19863
135	9306	19777
136	9365	19688
137	9426	19603
138	9493	19532
139	9553	19447
140	9617	19371
141	9675	19282
142	9742	19211
143	9797	19118
144	9856	19034
145	9915	18948
146	9981	18877
147	10052	18814
148	10113	18733
149	10174	18653
150	10255	18608
151	10334	18560
152	10400	18489
153	10475	18434
154	10556	18388
155	10628	18327
156	10713	18287
157	10796	18243
158	10879	18200
159	10959	18152
160	11028	18083
161	11098	18017
162	11184	17976
163	11292	17971
164	11384	17938
165	11472	17899
166	11552	17847
167	11624	17782
168	11695	17716
169	11768	17652
170	11841	17589
171	11919	17532
172	11983	17455
173	12051	17384
174	12123	17318
175	12194	17253
176	12277	17202
177	12367	17161
178	12449	17109
179	12528	17052
180	12598	16983
181	12677	16926
182	12741	16849
183	12825	16798
184	12905	16742
185	12973	16670
186	13049	16608
187	13124	16545
188	13198	16480
189	13260	16401
190	13335	16337
191	13413	16277
192	13479	16203
193	13558	16144
194	13660	16112
195	13744	16059
196	13822	15997
197	13903	15940
198	13973	15869
199	14050	15806
200	14135	15753
201	14213	15691
202	14290	15627
203	14357	15553
204	14433	15489
205	14508	15424
206	14588	15363
207	14653	15287
208	14717	15209
209	14791	15143
210	14862	15073
211	14936	15007
212	15011	14941
213	15089	14877
214	15165	14812
215	15234	14740
216	15311	14676
217	15349	14575
218	15423	14508
219	15502	14445
220	15578	14380
221	15657	14317
222	15734	14253
223	15821	14197
224	15926	14156
225	16016	14103
226	16091	14035
227	16157	13961
228	16240	13900
229	16325	13841
230	16401	13774
231	16479	13709
232	16554	13641
233	16626	13570
234	16703	13504
235	16779	13438
236	16863	13376
237	16942	13312
238	17020	13245
239	17100	13181
240	17174	13112
241	17240	13037
242	17314	12968
243	17382	12894
244	17463	12829
245	17540	12762
246	17613	12693
247	17698	12631
248	17769	12559
249	17844	12490
250	17917	12420
251	18002	12359
252	18077	12290
253	18171	12233
254	18260	12173
255	18337	12105
256	18404	12030
257	18477	11960
258	18547	11887
259	18613	11812
260	18692	11745
261	18763	11673
262	18839	11604
263	18914	11534
264	18992	11466
265	19072	11400
266	19152	11333
267	19228	11264
268	19311	11198
269	19386	11129
270	19462	11059
271	19539	10991
272	19627	10928
273	19703	10858
274	19781	10790
275	19851	10716
276	19931	10649
277	20006	10578
278	20075	10505
279	20158	10439
280	20229	10366
281	20308	10298
282	20389	10230
283	20487	10171
284	20594	10116
285	20661	10041
286	20742	9973
287	20818	9903
288	20895	9833
289	20974	9764
290	21051	9693
291	21127	9623
292	21208	9554
293	21285	9484
294	21362	9413
295	21441	9344
296	21521	9275
297	21591	9201
298	21673	9133
299	21750	9062
300	21833	8994
301	21926	8930
302	22047	8877
303	22140	8812
304	22216	8740
305	22293	8669
306	22365	8596
307	22441	8525
308	22547	8464
309	22678	8412
310	22822	8365
311	22919	8301
312	22995	8228
313	23083	8160
314	23165	8089
315	23256	8021
316	23330	7948
317	23396	7872
318	23476	7801
319	23556	7729
320	23630	7655
321	23710	7584
322	23791	7513
323	23871	7441
324	23944	7367
325	24058	7306
326	24180	7246
327	24268	7177
328	24352	7105
329	24428	7032
330	24511	6960
331	24588	6887
332	24667	6815
333	24762	6746
334	24860	6678
335	24938	6605
336	25018	6532
337	25118	6465
338	25216	6397
339	25302	6325
340	25386	6253
341	25462	6179
342	25537	6105
343	25608	6029
344	25690	5957
345	25767	5883
346	25841	5808
347	25921	5735
348	26002	5662
349	26073	5587
350	26156	5514
351	26237	5441
352	26321	5368
353	26403	5295
354	26484	5222
355	26562	5148
356	26637	5073
357	26722	5001
358	26805	4928
359	26884	4854
360	26967	4780
361	27043	4706
362	27123	4632
363	27204	4559
364	27298	4487
365	27397	4416
366	27500	4346
367	27581	4272
368	27661	4197
369	27744	4124
370	27816	4048
371	27892	3973
372	27973	3899
373	28060	3826
374	28133	3751
375	28215	3677
376	28297	3602
377	28381	3528
378	28465	3454
379	28540	3379
380	28619	3305
381	28698	3230
382	28784	3156
383	28856	3081
384	28935	3006
385	29012	2931
386	29085	2855
387	29162	2780
388	29241	2706
389	29327	2631
390	29412	2557
391	29495	2483
392	29571	2407
393	29670	2334
394	29774	2261
395	29868	2187
396	29957	2112
397	30032	2037
398	30112	1962
399	30188	1886
400	30265	1811
401	30346	1736
402	30430	1661
403	30511	1585
404	30586	1510
405	30663	1435
406	30750	1359
407	30821	1284
408	30894	1208
409	30980	1133
410	31065	1058
411	31140	982
412	31218	907
413	31302	831
414	31391	756
415	31464	680
416	31544	605
417	31657	530
418	31775	455
419	31862	379
420	31961	303
421	32064	227
422	32145	151
423	32245	76
424	32393	0
